Brand_ID,Brand_Name,Country,Year,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs,Product_Lines,Average_Price_USD,Market_Trend,Certifications
BRAND-0001,Brand_1,Australia,2018,D,Tencel,No,1.75,4511152.79,97844.11,No,2,38.33,Growing,GOTS
BRAND-0002,Brand_2,Japan,2015,D,Vegan Leather,Yes,124.39,1951566.31,37267.75,No,15,250.07,Growing,GOTS
BRAND-0003,Brand_3,USA,2024,A,Vegan Leather,No,336.66,467454.52,38385.92,No,2,146.16,Growing,B Corp
BRAND-0004,Brand_4,Italy,2023,D,Bamboo Fabric,No,152.04,899576.9,32665.45,No,13,165.52,Stable,OEKO-TEX
BRAND-0005,Brand_5,USA,2016,D,Bamboo Fabric,Yes,415.63,1809219.9,37295.47,Yes,19,211.63,Stable,Fair Trade
BRAND-0006,Brand_6,Italy,2017,B,Recycled Polyester,No,447.65,2244115.38,69017.63,Yes,10,196.45,Stable,B Corp
BRAND-0007,Brand_7,Australia,2015,A,Hemp,Yes,345.64,1020265.49,18373.35,No,17,376.14,Stable,GOTS
BRAND-0008,Brand_8,Brazil,2022,C,Tencel,No,336.7,3847649.16,28717.69,No,18,59.34,Declining,OEKO-TEX
BRAND-0009,Brand_9,France,2018,D,Recycled Polyester,Yes,386.68,1494891.28,45916.88,Yes,11,91.12,Declining,GOTS
BRAND-0010,Brand_10,India,2011,A,Bamboo Fabric,No,250.94,3892548.66,58636.15,No,9,426.55,Stable,None
BRAND-0011,Brand_11,Italy,2012,B,Organic Cotton,Yes,417.76,3489944.51,50610.02,Yes,1,214.88,Stable,Fair Trade
BRAND-0012,Brand_12,UK,2015,C,Hemp,No,122.81,2563102.3,44827.29,Yes,10,436.95,Stable,None
BRAND-0013,Brand_13,Japan,2024,A,Hemp,No,413.27,3162662.08,2507.82,No,20,437.23,Stable,None
BRAND-0014,Brand_14,USA,2022,B,Tencel,Yes,164.83,4380926.36,39252.99,Yes,5,474.4,Declining,GOTS
BRAND-0015,Brand_15,Germany,2017,D,Bamboo Fabric,No,215.43,4210420.72,88315.18,Yes,8,290.5,Growing,OEKO-TEX
BRAND-0016,Brand_16,China,2013,C,Recycled Polyester,Yes,227.94,1040405.39,98864.61,No,13,24.95,Stable,GOTS
BRAND-0017,Brand_17,Germany,2011,A,Bamboo Fabric,Yes,45.07,4448039.39,34738.56,Yes,9,148.35,Growing,None
BRAND-0018,Brand_18,Japan,2022,D,Recycled Polyester,No,335.15,1068529.66,20532.15,No,11,48.83,Stable,GOTS
BRAND-0019,Brand_19,China,2012,B,Bamboo Fabric,No,173.93,434142.38,46905.65,No,3,182.45,Declining,GOTS
BRAND-0020,Brand_20,Australia,2018,C,Hemp,Yes,437.75,2345334.52,96370.47,No,16,134.28,Growing,None
BRAND-0021,Brand_21,Australia,2012,B,Vegan Leather,No,489.19,1549017.38,17075.64,Yes,15,482.32,Growing,GOTS
BRAND-0022,Brand_22,Brazil,2012,D,Vegan Leather,Yes,375.74,3398780.12,75519.58,Yes,17,176.31,Declining,B Corp
BRAND-0023,Brand_23,India,2020,D,Organic Cotton,Yes,323.83,1166563.37,66186.01,No,17,233.59,Stable,None
BRAND-0024,Brand_24,China,2020,B,Recycled Polyester,Yes,240.91,4088887.9,53391.1,Yes,19,456.74,Stable,GOTS
BRAND-0025,Brand_25,Brazil,2020,D,Recycled Polyester,No,411.26,3981108.89,98686.02,Yes,10,327.07,Growing,B Corp
BRAND-0026,Brand_26,China,2018,C,Organic Cotton,No,234.31,2678432.31,40469.98,No,12,482.21,Growing,GOTS
BRAND-0027,Brand_27,Brazil,2020,C,Vegan Leather,Yes,181.28,1471160.32,8540.04,Yes,12,105.88,Declining,OEKO-TEX
BRAND-0028,Brand_28,Brazil,2017,D,Organic Cotton,Yes,72.78,4564734.97,68343.61,No,19,433.18,Declining,OEKO-TEX
BRAND-0029,Brand_29,Japan,2021,C,Tencel,No,60.14,404782.57,11022.95,No,13,98.05,Growing,B Corp
BRAND-0030,Brand_30,France,2014,B,Hemp,No,184.09,2206445.72,13839.54,Yes,16,64.22,Declining,GOTS
BRAND-0031,Brand_31,USA,2015,C,Hemp,Yes,189.84,3274778.79,71921.1,Yes,15,167.04,Stable,None
BRAND-0032,Brand_32,Italy,2016,A,Bamboo Fabric,Yes,157.86,1103107.94,23052.1,Yes,1,20.72,Declining,B Corp
BRAND-0033,Brand_33,USA,2010,D,Tencel,Yes,148.28,3912838.88,57197.09,No,3,470.32,Declining,OEKO-TEX
BRAND-0034,Brand_34,UK,2020,D,Vegan Leather,Yes,356.24,2261695.47,78206.66,No,13,203.24,Declining,Fair Trade
BRAND-0035,Brand_35,France,2021,B,Recycled Polyester,Yes,292.76,1978759.25,33864.19,Yes,1,459.71,Growing,Fair Trade
BRAND-0036,Brand_36,Brazil,2016,A,Vegan Leather,No,485.95,1745500.04,84480.28,No,14,127.04,Declining,GOTS
BRAND-0037,Brand_37,USA,2012,C,Recycled Polyester,No,480.24,2518993.55,30367.21,No,7,290.58,Stable,Fair Trade
BRAND-0038,Brand_38,Australia,2022,D,Recycled Polyester,Yes,255.32,4642986.14,63309.79,No,9,218.25,Growing,Fair Trade
BRAND-0039,Brand_39,USA,2024,C,Hemp,No,478.34,4592843.93,93815.42,No,19,196.25,Declining,B Corp
BRAND-0040,Brand_40,Germany,2021,B,Organic Cotton,No,418.25,2416857.95,11371.3,No,2,114.27,Declining,Fair Trade
BRAND-0041,Brand_41,UK,2014,A,Tencel,No,124.81,3578456.07,41009.2,No,18,402.16,Stable,GOTS
BRAND-0042,Brand_42,USA,2016,D,Hemp,Yes,295.57,2208679.26,88617.25,Yes,3,376.93,Declining,GOTS
BRAND-0043,Brand_43,Italy,2011,B,Tencel,Yes,455.62,2546933.55,53420.11,No,16,378.95,Growing,None
BRAND-0044,Brand_44,Italy,2017,A,Vegan Leather,Yes,434.37,4485908.7,40551.74,No,18,99.02,Stable,OEKO-TEX
BRAND-0045,Brand_45,Italy,2013,B,Recycled Polyester,Yes,315.39,4238166.74,85154.11,Yes,20,369.89,Growing,Fair Trade
BRAND-0046,Brand_46,Japan,2024,D,Tencel,Yes,202.43,2935889.82,80999.76,No,6,109.46,Stable,B Corp
BRAND-0047,Brand_47,UK,2015,D,Tencel,No,363.8,66938.2,9625.24,Yes,4,115.71,Stable,None
BRAND-0048,Brand_48,India,2011,B,Organic Cotton,No,382.4,3007645.93,5349.83,Yes,16,72.76,Growing,None
BRAND-0049,Brand_49,India,2016,B,Hemp,No,288.0,2328411.6,76891.7,Yes,11,101.85,Stable,OEKO-TEX
BRAND-0050,Brand_50,India,2014,C,Bamboo Fabric,Yes,38.25,4816032.53,67206.93,Yes,9,29.63,Declining,None
BRAND-0051,Brand_51,Brazil,2019,D,Vegan Leather,Yes,19.12,4247729.83,74281.13,Yes,16,253.18,Declining,None
BRAND-0052,Brand_52,France,2023,A,Tencel,No,465.37,3438997.67,33956.03,No,20,400.62,Declining,B Corp
BRAND-0053,Brand_53,Australia,2019,B,Hemp,No,30.6,2436109.9,64445.97,Yes,8,478.28,Growing,None
BRAND-0054,Brand_54,France,2012,C,Bamboo Fabric,Yes,368.14,1356637.77,24497.25,No,7,256.73,Declining,None
BRAND-0055,Brand_55,UK,2016,C,Vegan Leather,No,58.32,2938317.57,4671.87,Yes,20,301.97,Growing,OEKO-TEX
BRAND-0056,Brand_56,India,2012,D,Tencel,Yes,317.44,3386658.66,9311.63,No,7,123.3,Declining,B Corp
BRAND-0057,Brand_57,Brazil,2010,B,Tencel,Yes,63.21,3910771.5,49153.08,No,16,493.69,Declining,None
BRAND-0058,Brand_58,Germany,2022,B,Vegan Leather,Yes,83.24,65384.37,81487.65,Yes,4,237.95,Stable,OEKO-TEX
BRAND-0059,Brand_59,UK,2021,B,Vegan Leather,Yes,168.32,3411667.16,24814.84,Yes,1,175.79,Growing,Fair Trade
BRAND-0060,Brand_60,Brazil,2012,B,Recycled Polyester,Yes,134.29,1675918.75,13866.46,Yes,6,28.54,Declining,GOTS
BRAND-0061,Brand_61,Germany,2019,C,Bamboo Fabric,No,176.94,1706304.02,98388.45,Yes,6,485.58,Growing,Fair Trade
BRAND-0062,Brand_62,USA,2024,B,Recycled Polyester,Yes,459.57,1262304.83,91860.83,Yes,16,82.54,Stable,Fair Trade
BRAND-0063,Brand_63,Germany,2021,A,Recycled Polyester,Yes,317.48,3250619.98,14502.18,Yes,3,261.24,Declining,B Corp
BRAND-0064,Brand_64,Japan,2022,C,Recycled Polyester,Yes,118.12,2650618.81,97895.52,No,13,268.21,Stable,Fair Trade
BRAND-0065,Brand_65,USA,2024,B,Recycled Polyester,No,448.75,2427744.85,35739.14,No,12,467.6,Growing,OEKO-TEX
BRAND-0066,Brand_66,Italy,2012,D,Bamboo Fabric,Yes,346.21,4431517.33,93177.22,Yes,3,328.96,Declining,B Corp
BRAND-0067,Brand_67,USA,2013,A,Bamboo Fabric,No,154.05,3150639.7,9542.98,Yes,20,370.54,Growing,None
BRAND-0068,Brand_68,UK,2018,D,Hemp,No,221.83,3232837.62,97765.16,Yes,17,187.21,Stable,OEKO-TEX
BRAND-0069,Brand_69,China,2016,C,Tencel,Yes,474.7,1580162.53,22732.05,No,15,326.17,Growing,GOTS
BRAND-0070,Brand_70,France,2012,D,Vegan Leather,Yes,74.32,4110376.09,89038.36,Yes,6,26.5,Growing,Fair Trade
BRAND-0071,Brand_71,China,2021,C,Tencel,Yes,394.67,1424293.75,28854.77,Yes,12,183.08,Stable,Fair Trade
BRAND-0072,Brand_72,India,2013,A,Vegan Leather,No,121.11,1357557.81,69593.07,No,11,194.42,Growing,B Corp
BRAND-0073,Brand_73,UK,2017,A,Tencel,Yes,286.44,1562546.48,7867.05,No,2,459.94,Growing,None
BRAND-0074,Brand_74,USA,2012,C,Tencel,Yes,51.55,4796819.05,25167.92,No,3,81.26,Growing,None
BRAND-0075,Brand_75,India,2017,B,Tencel,No,204.09,1863153.5,26493.93,No,8,416.51,Growing,OEKO-TEX
BRAND-0076,Brand_76,China,2016,A,Recycled Polyester,No,169.63,4347329.99,65146.43,No,20,409.91,Declining,None
BRAND-0077,Brand_77,Australia,2017,C,Recycled Polyester,No,347.09,1519014.18,59379.99,Yes,17,479.21,Declining,None
BRAND-0078,Brand_78,Italy,2019,D,Vegan Leather,Yes,77.71,1880107.35,30899.97,No,4,359.23,Stable,OEKO-TEX
BRAND-0079,Brand_79,Japan,2023,B,Organic Cotton,Yes,343.04,2475171.71,27182.05,No,15,216.13,Stable,B Corp
BRAND-0080,Brand_80,Japan,2023,B,Vegan Leather,No,358.73,1568552.21,78799.16,No,5,240.02,Growing,B Corp
BRAND-0081,Brand_81,India,2023,A,Recycled Polyester,No,218.1,2298435.19,1761.34,Yes,8,155.15,Declining,None
BRAND-0082,Brand_82,USA,2022,C,Vegan Leather,Yes,331.04,2664508.93,84504.49,No,7,183.26,Stable,None
BRAND-0083,Brand_83,Australia,2024,C,Tencel,Yes,204.77,1962249.61,35066.22,No,7,319.43,Stable,OEKO-TEX
BRAND-0084,Brand_84,Japan,2023,C,Organic Cotton,Yes,75.48,4650439.21,28599.2,Yes,2,225.2,Declining,B Corp
BRAND-0085,Brand_85,Italy,2011,D,Recycled Polyester,No,44.34,2044130.86,2395.39,No,20,282.44,Growing,OEKO-TEX
BRAND-0086,Brand_86,UK,2016,C,Recycled Polyester,No,199.92,2488315.29,74339.23,No,4,370.28,Stable,GOTS
BRAND-0087,Brand_87,Germany,2012,A,Vegan Leather,Yes,276.69,2381958.82,66716.0,Yes,9,132.48,Declining,None
BRAND-0088,Brand_88,Germany,2012,D,Vegan Leather,Yes,291.79,3203689.5,50000.66,No,17,46.62,Declining,GOTS
BRAND-0089,Brand_89,Australia,2016,C,Vegan Leather,Yes,475.14,4548945.26,42811.53,No,9,481.61,Growing,OEKO-TEX
BRAND-0090,Brand_90,Australia,2023,D,Vegan Leather,No,152.06,3389499.28,58440.36,No,1,393.27,Declining,GOTS
BRAND-0091,Brand_91,Italy,2014,B,Tencel,No,264.41,2637824.7,7912.57,No,20,463.65,Growing,OEKO-TEX
BRAND-0092,Brand_92,UK,2021,B,Vegan Leather,No,364.82,2186640.3,5824.14,No,8,462.08,Growing,B Corp
BRAND-0093,Brand_93,Italy,2010,B,Vegan Leather,Yes,384.95,3477669.16,24539.14,No,3,436.23,Declining,B Corp
BRAND-0094,Brand_94,Germany,2021,D,Bamboo Fabric,No,53.16,357792.7,59407.19,No,18,95.64,Declining,B Corp
BRAND-0095,Brand_95,Germany,2010,A,Tencel,Yes,123.64,4612093.6,56884.63,No,9,158.43,Declining,Fair Trade
BRAND-0096,Brand_96,France,2021,C,Vegan Leather,No,347.56,3505851.91,51945.53,No,6,486.69,Declining,GOTS
BRAND-0097,Brand_97,USA,2022,C,Recycled Polyester,Yes,479.65,1363339.6,64472.04,No,17,472.66,Stable,None
BRAND-0098,Brand_98,France,2014,C,Tencel,No,186.63,2218131.45,98925.73,Yes,9,135.77,Declining,GOTS
BRAND-0099,Brand_99,China,2014,B,Organic Cotton,No,252.22,958875.53,53722.85,Yes,1,29.62,Growing,B Corp
BRAND-0100,Brand_100,India,2011,B,Recycled Polyester,No,481.39,4906438.37,27322.55,No,5,135.05,Declining,Fair Trade
BRAND-0101,Brand_101,Australia,2011,D,Hemp,Yes,242.61,1934618.84,63190.78,No,1,355.31,Growing,GOTS
BRAND-0102,Brand_102,USA,2013,B,Recycled Polyester,No,427.13,3641910.27,17326.87,Yes,6,173.84,Stable,OEKO-TEX
BRAND-0103,Brand_103,China,2024,A,Bamboo Fabric,Yes,47.65,1331967.52,18425.04,Yes,3,135.3,Stable,GOTS
BRAND-0104,Brand_104,China,2020,A,Tencel,No,302.11,1817495.16,33016.78,Yes,18,384.04,Declining,None
BRAND-0105,Brand_105,Brazil,2011,A,Hemp,Yes,360.09,3732137.92,77538.73,No,14,114.86,Declining,Fair Trade
BRAND-0106,Brand_106,Germany,2022,C,Organic Cotton,Yes,20.73,1272635.13,12883.33,No,3,481.53,Growing,None
BRAND-0107,Brand_107,USA,2019,C,Hemp,No,316.7,1408780.91,51791.04,Yes,16,470.45,Declining,GOTS
BRAND-0108,Brand_108,China,2016,D,Vegan Leather,Yes,63.55,3546692.49,61813.16,Yes,12,207.52,Growing,Fair Trade
BRAND-0109,Brand_109,UK,2015,B,Vegan Leather,Yes,85.0,1954874.74,5549.41,Yes,16,94.71,Declining,None
BRAND-0110,Brand_110,UK,2023,A,Vegan Leather,No,409.37,1329572.99,70682.62,Yes,15,189.25,Stable,B Corp
BRAND-0111,Brand_111,Italy,2023,A,Tencel,No,18.34,1971538.81,49206.09,No,12,210.31,Growing,Fair Trade
BRAND-0112,Brand_112,India,2017,C,Organic Cotton,No,218.65,916249.72,92679.89,Yes,16,280.13,Declining,None
BRAND-0113,Brand_113,Japan,2015,B,Organic Cotton,No,471.17,173345.1,95980.3,No,4,477.76,Declining,None
BRAND-0114,Brand_114,France,2011,D,Vegan Leather,Yes,323.13,1432621.83,25997.5,Yes,14,239.04,Stable,None
BRAND-0115,Brand_115,Brazil,2024,D,Tencel,Yes,419.84,4900485.4,92114.78,Yes,13,142.88,Growing,Fair Trade
BRAND-0116,Brand_116,China,2023,B,Vegan Leather,No,279.42,3242822.34,59473.38,Yes,6,328.45,Growing,B Corp
BRAND-0117,Brand_117,Italy,2022,C,Bamboo Fabric,No,17.89,2958385.59,30934.79,No,15,47.61,Growing,GOTS
BRAND-0118,Brand_118,Italy,2010,C,Organic Cotton,No,357.99,2829885.94,90089.19,No,20,467.22,Declining,None
BRAND-0119,Brand_119,Germany,2016,C,Hemp,No,178.13,3408139.71,66214.85,No,9,452.99,Growing,Fair Trade
BRAND-0120,Brand_120,India,2024,D,Bamboo Fabric,No,149.42,105902.81,15054.43,No,3,274.49,Stable,OEKO-TEX
BRAND-0121,Brand_121,Japan,2016,A,Recycled Polyester,No,233.99,2595245.48,41516.78,No,16,145.94,Stable,Fair Trade
BRAND-0122,Brand_122,Brazil,2011,B,Hemp,No,359.68,2487675.57,62073.72,No,6,475.94,Growing,B Corp
BRAND-0123,Brand_123,Japan,2015,B,Hemp,Yes,261.27,1276598.09,36497.19,No,16,475.28,Growing,None
BRAND-0124,Brand_124,USA,2023,C,Organic Cotton,Yes,197.43,3327856.95,1026.38,No,18,478.81,Declining,GOTS
BRAND-0125,Brand_125,China,2018,A,Bamboo Fabric,No,12.75,2839840.43,70815.72,Yes,19,134.71,Growing,B Corp
BRAND-0126,Brand_126,France,2018,D,Tencel,Yes,291.47,2972854.6,37791.12,Yes,9,373.04,Stable,OEKO-TEX
BRAND-0127,Brand_127,UK,2019,C,Hemp,Yes,125.39,1453757.85,29933.59,No,16,423.58,Growing,OEKO-TEX
BRAND-0128,Brand_128,Brazil,2020,B,Vegan Leather,Yes,147.3,2497654.23,11487.46,No,3,352.8,Growing,OEKO-TEX
BRAND-0129,Brand_129,Italy,2024,A,Tencel,Yes,441.4,3541423.74,84810.02,No,8,227.1,Declining,GOTS
BRAND-0130,Brand_130,UK,2019,A,Organic Cotton,No,437.36,4610075.73,55101.57,Yes,16,256.29,Growing,Fair Trade
BRAND-0131,Brand_131,Germany,2012,D,Bamboo Fabric,No,394.71,3737612.39,47507.88,Yes,18,209.74,Declining,Fair Trade
BRAND-0132,Brand_132,Germany,2016,B,Recycled Polyester,No,54.25,4598900.27,1203.32,No,12,28.53,Stable,Fair Trade
BRAND-0133,Brand_133,Italy,2015,B,Hemp,No,499.82,4390878.58,75657.34,No,15,269.11,Stable,GOTS
BRAND-0134,Brand_134,UK,2014,B,Tencel,Yes,190.42,1482288.75,41553.33,No,8,220.25,Declining,Fair Trade
BRAND-0135,Brand_135,Australia,2010,A,Hemp,No,499.89,4771068.92,84972.17,No,3,29.47,Stable,OEKO-TEX
BRAND-0136,Brand_136,India,2016,A,Tencel,No,297.74,1168392.22,9798.28,Yes,12,138.36,Stable,B Corp
BRAND-0137,Brand_137,USA,2016,B,Hemp,Yes,175.32,1797871.37,12358.45,Yes,8,33.0,Declining,None
BRAND-0138,Brand_138,Australia,2019,C,Organic Cotton,No,296.75,3925788.39,84842.78,No,17,65.82,Stable,B Corp
BRAND-0139,Brand_139,Australia,2022,B,Tencel,No,305.66,2630130.72,43360.72,Yes,5,328.12,Stable,Fair Trade
BRAND-0140,Brand_140,Germany,2017,B,Organic Cotton,Yes,95.73,3643293.99,46696.11,No,12,367.96,Growing,OEKO-TEX
BRAND-0141,Brand_141,Japan,2014,C,Bamboo Fabric,Yes,445.67,4773997.53,54824.14,Yes,15,433.47,Growing,Fair Trade
BRAND-0142,Brand_142,Italy,2019,C,Hemp,Yes,275.48,2528385.2,18359.11,No,17,119.12,Stable,None
BRAND-0143,Brand_143,India,2022,A,Bamboo Fabric,No,199.17,3373982.21,13320.3,Yes,9,191.73,Declining,None
BRAND-0144,Brand_144,France,2022,B,Hemp,No,332.24,1819385.59,95549.41,No,6,394.27,Declining,Fair Trade
BRAND-0145,Brand_145,Japan,2014,C,Bamboo Fabric,Yes,15.44,3331973.79,5114.72,Yes,9,309.5,Declining,Fair Trade
BRAND-0146,Brand_146,Australia,2020,B,Bamboo Fabric,Yes,164.31,3982288.22,60704.84,No,20,395.41,Declining,GOTS
BRAND-0147,Brand_147,China,2010,A,Hemp,Yes,374.79,581419.83,40911.13,Yes,4,309.15,Stable,Fair Trade
BRAND-0148,Brand_148,USA,2015,D,Tencel,No,184.92,262604.96,63384.21,No,5,264.94,Growing,OEKO-TEX
BRAND-0149,Brand_149,China,2012,B,Recycled Polyester,No,351.17,4076142.85,22978.82,Yes,14,188.02,Stable,GOTS
BRAND-0150,Brand_150,Italy,2020,A,Recycled Polyester,No,309.84,3542368.46,11357.08,Yes,18,37.66,Growing,OEKO-TEX
BRAND-0151,Brand_151,India,2023,B,Hemp,Yes,482.8,757408.83,62932.02,Yes,1,21.52,Growing,B Corp
BRAND-0152,Brand_152,India,2012,B,Hemp,No,243.15,3172294.5,98984.45,No,10,77.27,Growing,OEKO-TEX
BRAND-0153,Brand_153,UK,2014,D,Hemp,Yes,1.61,4070653.06,45663.62,Yes,15,55.74,Declining,B Corp
BRAND-0154,Brand_154,Brazil,2013,B,Tencel,Yes,30.67,4999380.44,49890.36,Yes,17,190.94,Growing,None
BRAND-0155,Brand_155,Australia,2019,C,Organic Cotton,No,302.58,3627022.42,24060.1,No,1,131.09,Stable,GOTS
BRAND-0156,Brand_156,UK,2020,C,Vegan Leather,No,31.91,4646796.22,79534.87,Yes,16,169.93,Stable,None
BRAND-0157,Brand_157,Japan,2011,D,Vegan Leather,No,58.51,4706391.87,10851.45,No,9,257.12,Stable,OEKO-TEX
BRAND-0158,Brand_158,Australia,2014,C,Hemp,Yes,433.37,2343266.44,65630.52,Yes,6,391.94,Stable,None
BRAND-0159,Brand_159,France,2015,C,Bamboo Fabric,Yes,321.76,768139.01,45242.69,No,6,391.85,Growing,OEKO-TEX
BRAND-0160,Brand_160,Australia,2014,C,Tencel,No,72.99,3543945.17,78175.07,No,6,163.77,Stable,B Corp
BRAND-0161,Brand_161,Germany,2012,C,Tencel,Yes,268.11,3333587.49,55919.39,Yes,2,302.43,Growing,OEKO-TEX
BRAND-0162,Brand_162,Italy,2019,C,Tencel,No,367.23,4428538.42,16475.73,Yes,15,404.96,Stable,GOTS
BRAND-0163,Brand_163,Brazil,2017,B,Recycled Polyester,Yes,484.3,4159619.25,33831.46,Yes,12,335.24,Stable,B Corp
BRAND-0164,Brand_164,Italy,2011,A,Recycled Polyester,No,133.6,2337641.56,48998.42,Yes,5,488.56,Growing,None
BRAND-0165,Brand_165,France,2014,A,Tencel,Yes,464.76,2823867.02,90445.27,No,5,260.76,Stable,B Corp
BRAND-0166,Brand_166,Australia,2011,C,Recycled Polyester,Yes,356.35,4216320.08,80380.67,Yes,13,333.25,Declining,None
BRAND-0167,Brand_167,USA,2022,B,Vegan Leather,No,49.09,1488899.49,34403.32,Yes,16,63.14,Stable,OEKO-TEX
BRAND-0168,Brand_168,UK,2011,A,Hemp,Yes,376.08,2280369.67,41246.45,No,7,29.87,Growing,Fair Trade
BRAND-0169,Brand_169,Australia,2020,D,Organic Cotton,No,112.55,4600761.17,24615.69,Yes,8,42.43,Declining,GOTS
BRAND-0170,Brand_170,Australia,2014,B,Recycled Polyester,Yes,194.09,2297024.64,30322.01,Yes,15,403.2,Growing,B Corp
BRAND-0171,Brand_171,Brazil,2014,A,Hemp,No,310.24,3058443.05,71771.27,Yes,14,356.61,Growing,GOTS
BRAND-0172,Brand_172,UK,2020,C,Hemp,No,69.18,4615188.71,72036.31,Yes,10,493.65,Stable,None
BRAND-0173,Brand_173,France,2023,B,Vegan Leather,No,171.53,4349678.82,6898.77,Yes,15,121.78,Declining,GOTS
BRAND-0174,Brand_174,Brazil,2014,A,Tencel,No,291.16,2529574.61,71591.58,No,3,92.83,Growing,None
BRAND-0175,Brand_175,Italy,2015,B,Bamboo Fabric,No,94.76,76517.96,23062.35,No,20,199.48,Growing,Fair Trade
BRAND-0176,Brand_176,Japan,2013,D,Organic Cotton,No,147.84,4602705.14,45328.91,No,7,379.7,Growing,GOTS
BRAND-0177,Brand_177,USA,2013,A,Organic Cotton,No,236.5,3297390.45,47502.47,Yes,3,276.06,Growing,GOTS
BRAND-0178,Brand_178,UK,2022,B,Hemp,No,274.42,2911175.45,72056.77,Yes,20,384.5,Growing,GOTS
BRAND-0179,Brand_179,France,2016,B,Hemp,Yes,229.15,2277871.36,63581.26,No,8,478.28,Growing,GOTS
BRAND-0180,Brand_180,Brazil,2016,A,Bamboo Fabric,No,319.19,4776451.8,63171.25,No,14,217.05,Growing,None
BRAND-0181,Brand_181,USA,2018,D,Tencel,No,198.51,3475752.19,28061.1,No,1,238.91,Growing,None
BRAND-0182,Brand_182,France,2022,B,Organic Cotton,Yes,40.01,3984337.24,28204.78,Yes,7,147.02,Stable,GOTS
BRAND-0183,Brand_183,Italy,2021,A,Bamboo Fabric,Yes,380.3,4427311.21,47574.38,No,17,143.81,Growing,OEKO-TEX
BRAND-0184,Brand_184,USA,2024,D,Bamboo Fabric,Yes,295.12,3964493.5,42549.18,Yes,18,126.87,Declining,B Corp
BRAND-0185,Brand_185,China,2018,C,Organic Cotton,Yes,1.33,3407000.65,96799.08,Yes,11,163.85,Growing,GOTS
BRAND-0186,Brand_186,Japan,2010,A,Bamboo Fabric,Yes,344.71,406930.47,79639.11,No,10,348.21,Declining,Fair Trade
BRAND-0187,Brand_187,Australia,2024,A,Hemp,No,402.76,1982948.35,34682.73,No,18,115.44,Growing,GOTS
BRAND-0188,Brand_188,Brazil,2016,D,Organic Cotton,Yes,307.52,3731017.24,59023.01,No,7,142.07,Growing,B Corp
BRAND-0189,Brand_189,Japan,2010,D,Vegan Leather,No,378.19,1315561.96,43522.71,No,20,90.6,Declining,OEKO-TEX
BRAND-0190,Brand_190,Germany,2022,B,Recycled Polyester,No,92.96,858534.76,10347.49,Yes,16,472.99,Declining,GOTS
BRAND-0191,Brand_191,India,2018,B,Bamboo Fabric,Yes,128.26,209134.71,14174.67,No,13,258.78,Declining,Fair Trade
BRAND-0192,Brand_192,Brazil,2017,A,Tencel,No,409.84,3747225.25,29074.79,Yes,15,27.48,Declining,OEKO-TEX
BRAND-0193,Brand_193,Australia,2012,A,Hemp,No,429.34,54484.49,17209.58,No,9,49.76,Declining,GOTS
BRAND-0194,Brand_194,India,2017,A,Organic Cotton,Yes,229.33,4895683.9,96516.5,Yes,12,82.9,Stable,Fair Trade
BRAND-0195,Brand_195,China,2023,C,Bamboo Fabric,Yes,431.56,4947047.2,76475.84,No,11,448.79,Growing,GOTS
BRAND-0196,Brand_196,Japan,2019,A,Vegan Leather,No,463.02,3119576.1,97898.86,Yes,14,313.25,Growing,B Corp
BRAND-0197,Brand_197,France,2017,C,Hemp,No,132.8,2190634.28,46682.86,Yes,14,305.89,Declining,None
BRAND-0198,Brand_198,Brazil,2018,C,Vegan Leather,Yes,316.26,1723552.02,27806.8,Yes,6,452.27,Declining,B Corp
BRAND-0199,Brand_199,Germany,2016,D,Vegan Leather,No,441.9,3897505.37,58605.69,Yes,16,359.87,Declining,B Corp
BRAND-0200,Brand_200,Australia,2018,C,Recycled Polyester,No,223.54,252971.31,39162.98,Yes,5,79.29,Declining,None
BRAND-0201,Brand_201,Italy,2022,B,Hemp,No,207.42,3206140.55,82538.61,Yes,14,119.34,Declining,Fair Trade
BRAND-0202,Brand_202,Australia,2017,D,Recycled Polyester,Yes,439.75,194696.6,71979.02,Yes,3,439.24,Declining,None
BRAND-0203,Brand_203,UK,2016,A,Bamboo Fabric,No,215.83,3252720.54,41294.92,No,11,406.32,Declining,GOTS
BRAND-0204,Brand_204,India,2014,C,Tencel,Yes,85.62,4575682.55,66804.49,Yes,16,380.6,Declining,GOTS
BRAND-0205,Brand_205,Italy,2012,C,Tencel,No,45.97,3431078.72,42577.35,Yes,14,129.51,Declining,OEKO-TEX
BRAND-0206,Brand_206,UK,2015,B,Hemp,Yes,113.24,3792173.73,20182.93,No,11,195.67,Stable,GOTS
